n_ops, gpu, cpu
1,1.4336e-05,1.024e-06
1,6.144e-06,8.32e-07
1,6.112e-06,1.024e-06
1,5.152e-06,9.92e-07
1,6.144e-06,8e-07
1,5.888e-06,8e-07
1,5.92e-06,1.024e-06
1,6.144e-06,1.024e-06
1,6.144e-06,1.024e-06
1,1.1264e-05,1.024e-06
2,5.12e-06,6.08e-07
2,6.816e-06,1.024e-06
2,6.112e-06,1.024e-06
2,6.144e-06,1.024e-06
2,5.12e-06,1.024e-06
2,6.144e-06,1.024e-06
2,6.144e-06,1.024e-06
2,5.12e-06,1.024e-06
2,5.792e-06,8e-07
2,5.984e-06,6.72e-07
4,5.888e-06,1.024e-06
4,5.12e-06,1.056e-06
4,5.792e-06,6.72e-07
4,5.92e-06,9.92e-07
4,5.12e-06,1.568e-06
4,5.792e-06,7.36e-07
4,5.984e-06,8.32e-07
4,6.08e-06,9.28e-07
4,6.144e-06,8.64e-07
4,6.08e-06,6.4e-07
8,5.792e-06,7.36e-07
8,5.984e-06,9.28e-07
8,6.144e-06,8.64e-07
8,6.112e-06,1.024e-06
8,5.696e-06,1.696e-06
8,5.824e-06,6.72e-07
8,6.016e-06,9.28e-07
8,5.76e-06,1.024e-06
8,6.144e-06,1.024e-06
8,5.696e-06,1.024e-06
16,5.792e-06,1.024e-06
16,5.12e-06,6.72e-07
16,5.888e-06,1.024e-06
16,5.12e-06,1.056e-06
16,6.112e-06,1.024e-06
16,6.176e-06,9.92e-07
16,6.144e-06,6.72e-07
16,5.696e-06,1.024e-06
16,6.144e-06,6.08e-07
16,5.888e-06,8.96e-07
32,6.112e-06,8.32e-07
32,6.08e-06,1.024e-06
32,5.728e-06,1.696e-06
32,5.824e-06,6.72e-07
32,6.048e-06,8.32e-07
32,5.856e-06,1.024e-06
32,6.176e-06,1.056e-06
32,6.08e-06,1.024e-06
32,6.144e-06,1.024e-06
32,6.144e-06,1.024e-06
64,6.144e-06,8.32e-07
64,6.016e-06,9.6e-07
64,6.144e-06,9.28e-07
64,6.144e-06,1.024e-06
64,5.12e-06,5.44e-07
64,5.696e-06,5.76e-07
64,5.12e-06,1.024e-06
64,5.12e-06,1.024e-06
64,5.696e-06,1.056e-06
64,6.144e-06,8.96e-07
128,5.696e-06,1.024e-06
128,5.12e-06,1.024e-06
128,6.144e-06,1.024e-06
128,6.144e-06,8.32e-07
128,5.952e-06,1.024e-06
128,6.144e-06,1.024e-06
128,6.144e-06,1.024e-06
128,6.144e-06,6.08e-07
128,5.76e-06,7.04e-07
128,5.792e-06,8e-07
256,5.984e-06,1.024e-06
256,6.144e-06,7.36e-07
256,5.12e-06,1.632e-06
256,5.12e-06,6.08e-07
256,5.664e-06,1.024e-06
256,6.144e-06,8e-07
256,5.824e-06,7.68e-07
256,5.792e-06,7.36e-07
256,5.088e-06,7.04e-07
256,5.728e-06,1.536e-06
512,5.12e-06,8.96e-07
512,6.144e-06,1.024e-06
512,6.144e-06,3.36e-06
512,5.696e-06,1.632e-06
512,5.824e-06,8e-07
512,6.112e-06,7.04e-07
512,5.92e-06,1.024e-06
512,5.12e-06,1.6e-06
512,6.144e-06,1.024e-06
512,5.12e-06,1.024e-06
1024,5.696e-06,1.024e-06
1024,6.144e-06,1.28e-06
1024,5.952e-06,1.024e-06
1024,6.144e-06,1.408e-06
1024,5.952e-06,1.12e-06
1024,5.664e-06,1.024e-06
1024,6.144e-06,1.184e-06
1024,6.144e-06,1.376e-06
1024,5.984e-06,1.952e-06
1024,5.76e-06,1.696e-06
2048,6.144e-06,3.136e-06
2048,5.792e-06,2.112e-06
2048,6.144e-06,2.72e-06
2048,6.144e-06,2.4e-06
2048,5.888e-06,2.048e-06
2048,6.144e-06,2.144e-06
2048,5.792e-06,2.048e-06
2048,5.12e-06,2.336e-06
2048,5.92e-06,2.4e-06
2048,5.952e-06,2.272e-06
4096,6.048e-06,4.32e-06
4096,6.144e-06,4.256e-06
4096,5.696e-06,4.8e-06
4096,5.92e-06,4.096e-06
4096,6.176e-06,4.288e-06
4096,5.12e-06,4.096e-06
4096,5.792e-06,5.376e-06
4096,5.856e-06,6.112e-06
4096,5.12e-06,4.096e-06
4096,5.12e-06,4.096e-06
8192,5.12e-06,7.488e-06
8192,6.112e-06,1.0976e-05
8192,6.112e-06,8.096e-06
8192,5.792e-06,1.0976e-05
8192,6.144e-06,8.096e-06
8192,6.144e-06,1.0528e-05
8192,5.728e-06,8.192e-06
8192,5.12e-06,7.584e-06
8192,5.888e-06,8.064e-06
8192,5.12e-06,7.488e-06
16384,5.984e-06,1.44e-05
16384,5.12e-06,1.4336e-05
16384,5.76e-06,2.0544e-05
16384,5.856e-06,1.5168e-05
16384,6.144e-06,1.536e-05
16384,6.144e-06,2.1504e-05
16384,5.824e-06,1.616e-05
16384,5.664e-06,1.6032e-05
16384,5.12e-06,1.488e-05
16384,5.728e-06,1.5168e-05
32768,6.144e-06,3.7632e-05
32768,6.144e-06,4.1344e-05
32768,6.048e-06,2.8576e-05
32768,5.088e-06,2.7648e-05
32768,5.824e-06,2.8704e-05
32768,4.992e-06,3.7888e-05
32768,5.12e-06,2.8672e-05
32768,5.12e-06,3.0272e-05
32768,5.088e-06,2.688e-05
32768,5.952e-06,2.8864e-05
65536,5.024e-06,8.2752e-05
65536,6.144e-06,7.8528e-05
65536,6.144e-06,7.9136e-05
65536,6.112e-06,5.5488e-05
65536,6.176e-06,5.7408e-05
65536,5.792e-06,5.8368e-05
65536,5.12e-06,5.4336e-05
65536,6.144e-06,5.8368e-05
65536,6.144e-06,5.7536e-05
65536,5.792e-06,6.656e-05
131072,5.12e-06,0.000108576
