n_ops, global, local, baseline
1,7.168e-06,1.2096e-05,1.4976e-05
1,6.144e-06,1.5296e-05,1.5008e-05
1,6.144e-06,1.2672e-05,1.4432e-05
1,6.848e-06,6.0032e-05,1.5136e-05
1,7.168e-06,1.1552e-05,1.4016e-05
1,6.144e-06,1.6224e-05,1.4304e-05
1,5.792e-06,1.2288e-05,1.4304e-05
1,6.144e-06,1.4688e-05,1.3312e-05
1,5.696e-06,1.8816e-05,1.4336e-05
1,6.688e-06,1.2224e-05,1.4016e-05
2,5.824e-06,1.3984e-05,1.4368e-05
2,6.112e-06,1.84e-05,1.456e-05
2,5.856e-06,1.92e-05,1.408e-05
2,5.92e-06,1.5136e-05,1.4304e-05
2,6.08e-06,1.216e-05,1.4304e-05
2,6.816e-06,1.5232e-05,1.4336e-05
2,5.152e-06,1.1552e-05,1.4336e-05
2,6.144e-06,1.824e-05,1.4304e-05
2,6.048e-06,1.3184e-05,1.328e-05
2,6.112e-06,1.4944e-05,1.4144e-05
4,5.856e-06,1.424e-05,1.4336e-05
4,6.112e-06,1.184e-05,1.4208e-05
4,5.12e-06,1.3536e-05,1.4912e-05
4,6.016e-06,1.7792e-05,1.4336e-05
4,5.952e-06,1.4368e-05,1.4336e-05
4,6.144e-06,1.3792e-05,1.4304e-05
4,6.144e-06,1.2672e-05,1.328e-05
4,5.12e-06,1.4944e-05,1.4432e-05
4,6.112e-06,1.9968e-05,1.4304e-05
4,6.144e-06,1.3728e-05,1.4304e-05
8,6.144e-06,1.2512e-05,1.4336e-05
8,6.144e-06,1.3376e-05,1.4272e-05
8,6.08e-06,1.7088e-05,1.3248e-05
8,5.664e-06,1.2224e-05,1.4944e-05
8,6.144e-06,1.2096e-05,1.4304e-05
8,5.632e-06,1.3696e-05,1.328e-05
8,6.144e-06,1.472e-05,1.4304e-05
8,6.144e-06,1.3056e-05,1.4336e-05
8,6.144e-06,1.776e-05,1.4304e-05
8,6.144e-06,1.3088e-05,1.4016e-05
16,6.144e-06,1.6288e-05,1.4336e-05
16,5.12e-06,1.3728e-05,1.3856e-05
16,6.144e-06,1.4304e-05,1.4304e-05
16,6.752e-06,1.7856e-05,1.4208e-05
