n_ops, s_size, gpu, cpu
1,2000,0.000148544,1.056e-06
1,2000,2.5504e-05,1.056e-06
1,2000,2.3328e-05,1.056e-06
1,2000,2.4736e-05,1.12e-06
1,2000,2.304e-05,1.056e-06
1,2000,2.224e-05,1.088e-06
1,2000,2.24e-05,1.056e-06
1,2000,2.2016e-05,1.088e-06
1,2000,2.3424e-05,1.152e-06
1,2000,2.2848e-05,1.088e-06
1,20000,0.000144576,1.056e-06
1,20000,3.5456e-05,1.056e-06
1,20000,3.52e-05,1.056e-06
1,20000,3.5168e-05,1.056e-06
1,20000,3.4784e-05,1.184e-06
1,20000,3.8496e-05,1.056e-06
1,20000,3.6736e-05,1.056e-06
1,20000,3.3728e-05,1.056e-06
1,20000,3.4464e-05,1.088e-06
1,20000,3.3312e-05,1.056e-06
1,200000,0.000270336,1.056e-06
1,200000,0.000160224,1.248e-06
1,200000,0.000167584,1.088e-06
1,200000,0.000159488,1.056e-06
1,200000,0.000190496,1.088e-06
1,200000,0.000161568,1.088e-06
1,200000,0.000160896,1.056e-06
1,200000,0.000161472,1.056e-06
1,200000,0.000161792,1.056e-06
1,200000,0.000232352,1.44e-06
2,2000,2.6304e-05,1.472e-06
2,2000,2.5472e-05,1.472e-06
2,2000,2.5472e-05,1.504e-06
2,2000,2.304e-05,1.472e-06
2,2000,2.3584e-05,1.536e-06
2,2000,2.3584e-05,1.504e-06
2,2000,2.3904e-05,1.472e-06
2,2000,2.5472e-05,1.472e-06
2,2000,2.368e-05,1.472e-06
2,2000,2.384e-05,1.44e-06
2,20000,3.8528e-05,1.472e-06
2,20000,3.9232e-05,1.088e-06
2,20000,3.696e-05,1.056e-06
2,20000,3.44e-05,1.056e-06
2,20000,3.5264e-05,1.056e-06
2,20000,3.4944e-05,1.088e-06
2,20000,3.392e-05,1.056e-06
2,20000,3.5328e-05,1.056e-06
2,20000,3.536e-05,1.088e-06
2,20000,3.4272e-05,1.056e-06
2,200000,0.000269184,1.056e-06
2,200000,0.000168224,1.088e-06
2,200000,0.000162144,1.056e-06
2,200000,0.00016304,1.056e-06
2,200000,0.00017152,1.312e-06
2,200000,0.000159936,1.056e-06
2,200000,0.000162912,1.056e-06
2,200000,0.000161408,1.056e-06
